plate,date,oxygen,treatment,time,gene,replicate,ct
a,2018-03-23,21%,None,48,LDHA,b,22.702501
a,2018-03-27,21%,None,48,LDHA,a,23.287788
a,2018-03-27,21%,None,48,LDHA,b,23.280481
a,2018-03-20,21%,None,72,LDHA,a,23.374899
a,2018-03-20,21%,None,72,LDHA,b,23.43214
a,2018-03-23,21%,None,72,LDHA,a,22.85068
a,2018-03-23,21%,None,72,LDHA,b,22.881947
a,2018-03-27,21%,None,72,LDHA,a,23.624626
a,2018-03-27,21%,None,72,LDHA,b,23.588863
a,2018-03-20,0.5%,None,0,LDHA,a,22.04216
a,2018-03-20,0.5%,None,0,LDHA,b,21.924015
a,2018-03-23,0.5%,None,0,LDHA,a,21.416292
a,2018-03-23,0.5%,None,0,LDHA,b,21.449518
a,2018-03-27,0.5%,None,0,LDHA,a,21.448776
a,2018-03-27,0.5%,None,0,LDHA,b,21.424547
a,2018-03-20,0.5%,None,24,LDHA,a,20.847754
a,2018-03-20,0.5%,None,24,LDHA,b,20.77931
a,2018-03-23,0.5%,None,24,LDHA,a,20.93145
a,2018-03-23,0.5%,None,24,LDHA,b,20.960903
a,2018-03-27,0.5%,None,24,LDHA,a,21.162123
a,2018-03-27,0.5%,None,24,LDHA,b,21.14194
a,2018-03-20,0.5%,None,48,LDHA,a,21.633497
a,2018-03-20,0.5%,None,48,LDHA,b,21.652382
a,2018-03-23,0.5%,None,48,LDHA,a,21.034702
a,2018-03-23,0.5%,None,48,LDHA,b,21.128748
a,2018-03-27,0.5%,None,48,LDHA,a,21.116692
a,2018-03-27,0.5%,None,48,LDHA,b,21.034756
a,2018-03-20,0.5%,None,72,LDHA,a,21.362043
a,2018-03-20,0.5%,None,72,LDHA,b,21.352827
a,2018-03-23,0.5%,None,72,LDHA,a,20.709328
a,2018-03-23,0.5%,None,72,LDHA,b,20.80231
a,2018-03-27,0.5%,None,72,LDHA,a,21.328003
a,2018-03-27,0.5%,None,72,LDHA,b,21.291462
