id,equation,value,se,lb,ub
GLDH net,GLU <-> AKG,44.2983,1.1742,44.1536,44.4917
GLDH exch,GLU <-> AKG,5.36E+02,1.0778,5.34E+02,8.37E+02
GLS net,GLN <-> GLU,73.7895,1.1663,73.643,73.7959
GLS exch,GLN <-> GLU,3.20E-01,1.4963,0,2.7379
CS,AcCoA.m + OAC -> CIT,156.3469,0.8375,156.292,157.8441
IDH net,CIT <-> AKG + CO2,21.0693,0.9497,20.9882,21.0778
IDH exch,CIT <-> AKG + CO2,10.3609,1.0219,10.2091,10.3681
OGDH,AKG -> SUC + CO2,65.3676,1.3899,65.1025,65.9454
SDH net,SUC <-> FUM,65.3676,1.3899,65.1025,65.9454
SDH exch,SUC <-> FUM,2.78E-01,1.5468,0,Inf
FH net,FUM <-> MAL,65.3676,1.3899,65.1025,65.9454
FH exch,FUM <-> MAL,1.03E-04,1.7692,0.00E+00,15.758
MDH net,MAL <-> OAC,200.644,1.0036,200.6378,200.6502
MDH exch,MAL <-> OAC,1.01E+03,0.9424,826.9722,1.01E+03
GOT net,OAC <-> ASP,12.1863,0.5449,11.6847,12.3653
GOT exch,OAC <-> ASP,2.27E+02,1.6267,226.5673,247.1045
ACL,CIT -> AcCoA.c + MAL,135.2776,0.873,134.4204,137.7302
LIPS,AcCoA.c -> lipid,1.08E+02,0.9894,99.8996,108.2186
SERR,SER.x -> SER,2.5368,0.1211,2.4762,2.5481
PST,3PG -> SER,2.6909,0.3799,2.5738,2.7966
SHT net,SER <-> GLY + MEETHF,5.1897,0.0859,5.1507,5.1999
SHT exch,SER <-> GLY + MEETHF,3.55E+00,0.959,3.5209,3.5914
CYST net,SER <-> CYS,-11.1899,0.3861,-11.7376,-11.0802
CYST exch,SER <-> CYS,1.04E+03,0.8659,1.03E+03,1.04E+03
SD,SER -> PYR.c,6.3914,0.5598,6.2328,6.4377
GLYS,CO2 + MEETHF -> GLY,2.3931,0.041,2.3551,2.4173
CYSR,CYX.x -> CYS + CYS,6.39,0.1935,6.3353,6.4546
GLYR,GLY -> GLY.x,0.3655,0.035,0.3027,0.4187
cPYR,0*PYR.c -> PYR.ms,0.577,0.2021,0.564,0.5917
mPYR,0*PYR.m -> PYR.ms,4.23E-01,0.2021,0.4083,0.436
sPYR,PYR.ms -> PYR.fix,1,0,1,1
