id,equation,value,se,lb,ub
SDH net,SUC <-> FUM,180.9567,1.5684,180.4352,181.0109
SDH exch,SUC <-> FUM,3.34E+06,1.0893,3.34E+06,3.34E+06
FH net,FUM <-> MAL,180.9567,1.5684,180.4352,181.0109
FH exch,FUM <-> MAL,217.7666,2.0122,217.7103,217.8218
MDH net,MAL <-> OAC,232.4576,0.8515,231.8451,232.5292
MDH exch,MAL <-> OAC,3.67E+03,0.6961,3.67E+03,3.69E+03
GOT net,OAC <-> ASP,10.6546,0.3359,10.5938,10.7057
GOT exch,OAC <-> ASP,15.4087,0.3734,15.357,15.4586
ACL,CIT -> AcCoA.c + MAL,233.3214,0.7613,233.2908,233.3477
LIPS,AcCoA.c -> lipid,213.7808,1.165,213.7756,213.7845
SERR,SER.x -> SER,2.5731,0.077,2.5504,2.5742
PST,3PG -> SER,0.7118,0.113,0.7013,0.7211
SHT net,SER <-> GLY + MEETHF,3.8182,0.1673,3.8079,3.8641
SHT exch,SER <-> GLY + MEETHF,0.1598,0.5723,0.136,0.1698
CYST net,SER <-> CYS,-6.3526,0.0657,-6.3534,-6.3525
CYST exch,SER <-> CYS,0.002,0.5518,0,0.002
SD,SER -> PYR.c,2.3274,0.3956,2.3254,2.3278
GLYS,CO2 + MEETHF -> GLY,1.7991,0.084,1.7893,1.8087
CYSR,CYX.x -> CYS + CYS,3.7503,0.0212,3.7503,3.7504
GLYR,GLY -> GLY.x,0.4065,0.0928,0.3865,0.4249
cPYR,0*PYR.c -> PYR.ms,1,0.0667,0.9956,1
mPYR,0*PYR.m -> PYR.ms,1.00E-07,0.0667,0,0.0044
sPYR,PYR.ms -> PYR.fix,1,0,1,1
