id,equation,value,se,lb,ub
ME2,MAL -> PYR.m + CO2,2.0485,1.3591,0.0951,2.6818
ME1,MAL -> PYR.c + CO2,0.0278,1.2953,0,26.289
PDH,PYR.m -> AcCoA.m + CO2,102.2394,2.054,87.6121,114.6674
FAO,FAO -> AcCoA.m,1.00E-07,2.047,0,2.1334
GLDH net,GLU <-> AKG,17.0541,0.939,15.5697,18.4472
GLDH exch,GLU <-> AKG,1.52E+03,1.7669,1.52E+03,7.13E+03
GLS net,GLN <-> GLU,37.762,0.8433,35.9614,38.6302
GLS exch,GLN <-> GLU,0.3991,0.8042,0,0.8043
CS,AcCoA.m + OAC -> CIT,102.2394,1.1984,83.0111,110.9624
IDH net,CIT <-> AKG + CO2,24.8857,1.1253,24.1925,25.2549
IDH exch,CIT <-> AKG + CO2,4.5473,1.0783,4.031,5.1948
OGDH,AKG -> SUC + CO2,41.9398,1.6596,40.084,42.4559
SDH net,SUC <-> FUM,41.9398,1.6596,40.084,42.4559
SDH exch,SUC <-> FUM,1.22E+03,2.4493,NaN,Inf
FH net,FUM <-> MAL,41.9398,1.6596,40.084,42.4559
FH exch,FUM <-> MAL,3.66E+05,2.4614,1.95E+05,Inf
MDH net,MAL <-> OAC,117.2171,1.4231,107.5363,123.5897
MDH exch,MAL <-> OAC,1.11E+03,1.4821,788.1922,2.38E+03
GOT net,OAC <-> ASP,8.1058,0.1181,8.0614,8.2326
GOT exch,OAC <-> ASP,1.00E+07,2.28,-Inf,Inf
ACL,CIT -> AcCoA.c + MAL,77.3537,1.2522,62.8602,103.6496
LIPS,AcCoA.c -> lipid,48.3835,1.337,45.5452,48.387
SERR,SER.x -> SER,14.2346,0.577,13.5245,14.9119
PST,3PG -> SER,1.9455,0.4038,1.631,2.0041
SHT net,SER <-> GLY + MEETHF,6.3846,0.1077,6.2154,6.4319
SHT exch,SER <-> GLY + MEETHF,5.1043,1.7472,0.8916,5.252
CYST net,SER <-> CYS,-7.1163,0.3747,-7.1878,-6.8139
CYST exch,SER <-> CYS,1.52E-05,1.2632,0,2.55E-04
SD,SER -> PYR.c,11.7349,0.7798,10.4418,11.9763
GLYS,CO2 + MEETHF -> GLY,3.3912,0.0769,3.3484,3.4867
CYSR,CYX.x -> CYS + CYS,4.4092,0.1871,4.2282,4.5809
GLYR,GLY -> GLY.x,2.0505,0.135,1.9041,2.1499
cPYR,0*PYR.c -> PYR.ms,1,0.4857,0.8474,1
mPYR,0*PYR.m -> PYR.ms,1.00E-07,0.4857,0,0.1526
sPYR,PYR.ms -> PYR.fix,1,0,1,1
